job_id,title,company,location,skills,description,source
JOB_101,Senior Generative AI Engineer,Nexus AI Labs,San Francisco CA,"Python, PyTorch, LangChain, FAISS, RAG, Transformers, Docker, FastAPI, LLM fine-tuning, Prompt Engineering","Architect and implement cutting-edge Generative AI systems, RAG pipelines, and agentic workflows. Build production semantic vector search engines using FAISS and embed models. Deploy high-throughput microservices using FastAPI, Docker, and Kubernetes.",kaggle_curated
JOB_102,Machine Learning Engineer,Quantum Analytics,New York NY,"Python, Scikit-Learn, TensorFlow, PyTorch, SQL, Pandas, MLflow, Docker, AWS","Develop, deploy, and monitor production machine learning models for enterprise fraud detection and risk modeling. Build automated feature pipelines and maintain ML lifecycle using MLflow and AWS SageMaker.",kaggle_curated
JOB_103,Data Analyst,Insight Pulse,Austin TX,"SQL, Python, Tableau, Power BI, Excel, Data Modeling, Statistical Analysis","Translate complex business metrics into actionable executive dashboards. Perform in-depth data queries using SQL and automated Python reporting scripts. Collaborate with cross-functional product teams.",kaggle_curated
JOB_104,Senior Backend Developer,CloudScale Systems,Seattle WA,"Python, FastAPI, Django, PostgreSQL, Redis, Docker, Microservices, CI/CD, Kubernetes","Design resilient and scalable backend microservices supporting millions of daily API transactions. Optimize PostgreSQL database schemas, indexes, and caching strategies using Redis.",kaggle_curated
JOB_105,Analytics Engineer,MetricFlow Data,Remote,"SQL, dbt, Snowflake, Python, BigQuery, Airflow, Data Warehousing, Data Modeling","Bridge data engineering and business intelligence. Build reliable data transformation pipelines using dbt, SQL, and Snowflake. Orchestrate DAGs with Apache Airflow.",kaggle_curated
JOB_106,Data Scientist,Apex Predictive Tech,Boston MA,"Python, R, Machine Learning, NLP, Statistics, Pandas, Scikit-Learn, Deep Learning, SQL","Conduct exploratory data analysis, hypothesis testing, and predictive predictive modeling. Apply natural language processing to unstructured customer feedback and document corpora.",kaggle_curated
JOB_107,Cloud DevOps & Platform Engineer,Starlight Cloud,Chicago IL,"AWS, Terraform, Kubernetes, Docker, CI/CD, Linux, Python, Bash, Prometheus, Grafana","Automate enterprise infrastructure as code using Terraform on AWS. Build and maintain secure CI/CD pipelines, container orchestration on Kubernetes, and comprehensive Prometheus monitoring.",kaggle_curated
JOB_108,Cybersecurity Incident Analyst,DefendGrid Security,Washington DC,"SIEM, Splunk, Incident Response, Network Security, Python, Threat Intelligence, Linux, Wireshark","Monitor security events across enterprise environments, triage SIEM alerts, investigate suspicious activity, and execute incident response playbooks. Automate threat hunting using Python scripts.",kaggle_curated
JOB_109,Full Stack Software Engineer,Vanguard Digital,San Jose CA,"React, TypeScript, JavaScript, Python, Node.js, REST API, Tailwind CSS, PostgreSQL, Git","Build end-to-end web applications. Develop responsive frontend user interfaces in React and TypeScript while creating robust backend services and REST APIs in Python.",kaggle_curated
JOB_110,LLM & RAG Systems Researcher,Cerebral Minds,Remote,"Python, Transformers, Vector Databases, RAG, PyTorch, Evaluation Metrics, LangChain, Deep Learning","Pioneer innovative retrieval-augmented generation architectures, multi-agent frameworks, and hallucination reduction benchmarks. Conduct rigorous evaluations of LLM grounding and embedding representations.",kaggle_curated
JOB_111,Data Platform Engineer,StreamPeak Technologies,Denver CO,"Python, Apache Spark, Kafka, SQL, Hadoop, AWS, PySpark, Airflow, Data Lakes","Design and operate distributed data streaming platforms using Apache Kafka and Spark. Ingest terabytes of telemetry data into Delta Lake and ensure real-time pipeline reliability.",kaggle_curated
JOB_112,Junior AI Developer,Seedling Tech,Atlanta GA,"Python, Git, FastAPI, Scikit-Learn, Streamlit, Pandas, NumPy, REST API","Assist the core engineering team in prototyping AI features, building Streamlit internal tools, and testing REST APIs. Great opportunity for early-career developers passionate about AI.",kaggle_curated
JOB_113,Lead Solutions Architect,Enterprise Core,Dallas TX,"System Design, Cloud Architecture, AWS, Microservices, Python, Enterprise Integration, Security","Lead architectural design for mission-critical client deployments. Define technical roadmaps, establish security governance, and guide development teams on scalable microservices patterns.",kaggle_curated
JOB_114,Computer Vision Engineer,OmniVision AI,San Diego CA,"Python, OpenCV, PyTorch, Deep Learning, CNN, C++, TensorRT, Linux, Image Processing","Design real-time object detection and segmentation models for edge devices. Optimize neural networks with TensorRT and deploy embedded vision algorithms.",kaggle_curated
JOB_115,Database Administrator & Architect,DataFortress Corp,Philadelphia PA,"PostgreSQL, MySQL, Database Tuning, SQL, Replication, High Availability, Linux, Backup & Recovery","Ensure high availability, disaster recovery, and peak performance of critical PostgreSQL database clusters. Implement replication, query tuning, and index optimization.",kaggle_curated
JOB_116,Frontend Engineer (UI/UX),PixelCraft Studio,Remote,"React, Next.js, TypeScript, CSS3, Tailwind CSS, Figma, Webpack, Responsive Design","Craft delightful user interfaces and web experiences. Translate Figma designs into accessible, pixel-perfect React components with seamless state management.",kaggle_curated
JOB_117,Site Reliability Engineer (SRE),HyperScale Net,Remote,"Linux, Python, Go, Kubernetes, Terraform, Observability, Incident Management, AWS, CI/CD","Maintain 99.99% system availability for globally distributed cloud services. Automate self-healing systems, conduct post-mortems, and establish SLO/SLI error budgets.",kaggle_curated
JOB_118,Business Intelligence Specialist,Metro Financial,Charlotte NC,"Power BI, SQL, DAX, Excel, Data Warehousing, Financial Modeling, ETL","Develop enterprise Power BI dashboards for corporate finance and risk management. Write optimized DAX formulas and SQL queries against corporate data warehouses.",kaggle_curated
JOB_119,NLP Engineer,Lexicon Semantic AI,San Francisco CA,"Python, NLP, Hugging Face, spaCy, PyTorch, Embeddings, Information Retrieval, Tokenization","Build state-of-the-art information extraction, semantic search, and document classification pipelines using Hugging Face transformers and dense embeddings.",kaggle_curated
JOB_120,AI Product Developer,InnoVentures,Remote,"Python, Streamlit, LangChain, OpenAI, Gemini, Prompt Engineering, REST API, Git","Rapidly prototype and iterate user-facing GenAI applications. Implement prompt chains, evaluate LLM outputs, and build polished Streamlit user interfaces.",kaggle_curated
